Date and Ship To Address	Item Number	Pick Type	Each per pallet	Each per case	Sum of Total quantity requested for order	Pallet Picks	Case Picks	Each Picks
03/21/2022 address 10	534278	SBO	3000	50	1	0	0	1
03/21/2022 address 10	538341	SLP	20	0	20	1	0	0
03/21/2022 address 1	506608	SBO	11200	100	240	0	2	40
03/21/2022 address 1	508012	SBO	6000	100	18	0	0	18
03/21/2022 address 1	510088	SBO	2560	80	64	0	0	64
03/21/2022 address 1	511171	SRL	360	12	129	0	10	9
03/21/2022 address 1	513473	SBO	4800	200	19	0	0	19
03/21/2022 address 1	514902	SBO	14400	100	18	0	0	18
03/21/2022 address 1	518636	SBO	4000	100	212	0	2	12
03/21/2022 address 1	519111	SBO	40320	2240	360	0	0	360
03/21/2022 address 1	529027	SPN	108	0	15	0	0	15
03/21/2022 address 1	531539	SBO	54000	300	180	0	0	180
03/21/2022 address 1	531967	SFS	230400	300	405	0	1	105
03/21/2022 address 1	532173	SBO	880	10	15	0	1	5
03/21/2022 address 1	534278	SBO	3000	50	16	0	0	16
03/21/2022 address 1	539727	SLP	20	0	135	6	0	15
03/21/2022 address 1	544319	SBO	1728	24	384	0	16	0
03/21/2022 address 6	506608	SBO	11200	100	28	0	0	28
03/21/2022 address 6	508012	SBO	6000	100	3	0	0	3
03/21/2022 address 6	510088	SBO	2560	80	8	0	0	8
03/21/2022 address 6	511171	SRL	360	12	10	0	0	10
03/21/2022 address 6	513473	SBO	4800	200	3	0	0	3
03/21/2022 address 6	514902	SBO	14400	100	3	0	0	3
03/21/2022 address 6	518636	SBO	4000	100	16	0	0	16
03/21/2022 address 6	519111	SBO	40320	2240	24	0	0	24
03/21/2022 address 6	529027	SPN	108	0	1	0	0	1
03/21/2022 address 6	532173	SBO	880	10	1	0	0	1
03/21/2022 address 6	534278	SBO	3000	50	1	0	0	1
03/21/2022 address 6	538341	SLP	20	0	15	0	0	15
03/21/2022 address 2	506608	SBO	11200	100	128	0	1	28
03/21/2022 address 2	508012	SBO	6000	100	12	0	0	12
03/21/2022 address 2	510088	SBO	2560	80	36	0	0	36
03/21/2022 address 2	511171	SRL	360	12	46	0	3	10
03/21/2022 address 2	513473	SBO	4800	200	12	0	0	12
03/21/2022 address 2	514902	SBO	14400	100	12	0	0	12
03/21/2022 address 2	518636	SBO	4000	100	60	0	0	60
03/21/2022 address 2	519111	SBO	40320	2240	96	0	0	96
03/21/2022 address 2	529027	SPN	108	0	3	0	0	3
03/21/2022 address 2	530205	SLP	23	0	20	0	0	20
03/21/2022 address 2	532173	SBO	880	10	3	0	0	3
03/21/2022 address 2	534278	SBO	3000	50	3	0	0	3
03/21/2022 address 2	538341	SLP	20	0	47	2	0	7
03/22/2022 address 2	506608	SBO	11200	100	184	0	1	84
03/22/2022 address 2	508012	SBO	6000	100	17	0	0	17
03/22/2022 address 2	510088	SBO	2560	80	44	0	0	44
03/22/2022 address 2	511171	SRL	360	12	66	0	5	6
03/22/2022 address 2	513473	SBO	4800	200	17	0	0	17
03/22/2022 address 2	514902	SBO	14400	100	17	0	0	17
03/22/2022 address 2	518636	SBO	4000	100	88	0	0	88
03/22/2022 address 2	519111	SBO	40320	2240	136	0	0	136
03/22/2022 address 2	529027	SPN	108	0	15	0	0	15
03/22/2022 address 2	531539	SBO	54000	300	2000	0	6	200
03/22/2022 address 2	531575	SBO	450	15	20	0	1	5
03/22/2022 address 2	531576	SBO	300	20	10	0	0	10
03/22/2022 address 2	531578	SBO	1120	10	20	0	2	0
03/22/2022 address 2	531702	SBO	450	15	20	0	1	5
03/22/2022 address 2	531967	SFS	230400	300	1000	0	3	100
03/22/2022 address 2	532173	SBO	880	10	15	0	1	5
03/22/2022 address 2	532458	SBO	4	0	2	0	0	2
03/22/2022 address 2	534278	SBO	3000	50	15	0	0	15
03/22/2022 address 2	538341	SLP	20	0	80	4	0	0
03/22/2022 address 2	539727	SLP	20	0	16	0	0	16
03/23/2022 address 2	506608	SBO	11200	100	28	0	0	28
03/23/2022 address 2	508012	SBO	6000	100	3	0	0	3
03/23/2022 address 2	510088	SBO	2560	80	8	0	0	8
03/23/2022 address 2	511171	SRL	360	12	10	0	0	10
03/23/2022 address 2	513473	SBO	4800	200	3	0	0	3
03/23/2022 address 2	514902	SBO	14400	100	3	0	0	3
03/23/2022 address 2	518636	SBO	4000	100	16	0	0	16
03/23/2022 address 2	519111	SBO	40320	2240	24	0	0	24
03/23/2022 address 2	529027	SPN	108	0	1	0	0	1
03/23/2022 address 2	532173	SBO	880	10	1	0	0	1
03/23/2022 address 2	534278	SBO	3000	50	1	0	0	1
03/23/2022 address 2	538341	SLP	20	0	14	0	0	14
03/24/2022 address 1	506608	SBO	11200	100	392	0	3	92
03/24/2022 address 1	508012	SBO	6000	100	20	0	0	20
03/24/2022 address 1	510088	SBO	2560	80	152	0	1	72
03/24/2022 address 1	511171	SRL	360	12	193	0	16	1
03/24/2022 address 1	513473	SBO	4800	200	18	0	0	18
03/24/2022 address 1	514902	SBO	14400	100	20	0	0	20
03/24/2022 address 1	518636	SBO	4000	100	224	0	2	24
03/24/2022 address 1	519111	SBO	40320	2240	432	0	0	432
03/24/2022 address 1	529027	SPN	108	0	18	0	0	18
03/24/2022 address 1	531539	SBO	54000	300	270	0	0	270
03/24/2022 address 1	531967	SFS	230400	300	600	0	2	0
03/24/2022 address 1	532173	SBO	880	10	18	0	1	8
03/24/2022 address 1	534278	SBO	3000	50	18	0	0	18
03/24/2022 address 1	538350	SLP	25	0	1	0	0	1
03/24/2022 address 1	539727	SLP	20	0	200	10	0	0
03/24/2022 address 1	544319	SBO	1728	24	672	0	28	0
03/24/2022 address 2	506608	SBO	11200	100	184	0	1	84
03/24/2022 address 2	508012	SBO	6000	100	17	0	0	17
03/24/2022 address 2	510088	SBO	2560	80	44	0	0	44
03/24/2022 address 2	511171	SRL	360	12	66	0	5	6
03/24/2022 address 2	513473	SBO	4800	200	17	0	0	17
03/24/2022 address 2	514902	SBO	14400	100	17	0	0	17
03/24/2022 address 2	518636	SBO	4000	100	88	0	0	88
03/24/2022 address 2	519111	SBO	40320	2240	136	0	0	136
03/24/2022 address 2	529027	SPN	108	0	4	0	0	4
03/24/2022 address 2	532173	SBO	880	10	4	0	0	4
03/24/2022 address 2	534278	SBO	3000	50	4	0	0	4
03/24/2022 address 2	534983	SLB	8	0	2	0	0	2
03/24/2022 address 2	536630	SRL	3	0	1	0	0	1
03/24/2022 address 2	537682	SSN	10	0	1	0	0	1
03/24/2022 address 2	538341	SLP	20	0	98	4	0	18
03/25/2022 address 9	506608	SBO	11200	100	68	0	0	68
03/25/2022 address 9	508012	SBO	6000	100	6	0	0	6
03/25/2022 address 9	510088	SBO	2560	80	16	0	0	16
03/25/2022 address 9	511171	SRL	360	12	24	0	2	0
03/25/2022 address 9	513473	SBO	4800	200	6	0	0	6
03/25/2022 address 9	514902	SBO	14400	100	6	0	0	6
03/25/2022 address 9	518636	SBO	4000	100	32	0	0	32
03/25/2022 address 9	519111	SBO	40320	2240	48	0	0	48
03/25/2022 address 9	529027	SPN	108	0	1	0	0	1
03/25/2022 address 9	532173	SBO	880	10	1	0	0	1
03/25/2022 address 9	534278	SBO	3000	50	1	0	0	1
03/25/2022 address 9	538341	SLP	20	0	34	1	0	14
03/25/2022 address 8	538341	SLP	20	0	22	1	0	2
03/25/2022 address 3	506608	SBO	11200	100	40	0	0	40
03/25/2022 address 3	508012	SBO	6000	100	4	0	0	4
03/25/2022 address 3	510088	SBO	2560	80	12	0	0	12
03/25/2022 address 3	511171	SRL	360	12	14	0	1	2
03/25/2022 address 3	513473	SBO	4800	200	4	0	0	4
03/25/2022 address 3	514902	SBO	14400	100	4	0	0	4
03/25/2022 address 3	518636	SBO	4000	100	20	0	0	20
03/25/2022 address 3	519111	SBO	40320	2240	32	0	0	32
03/25/2022 address 3	529027	SPN	108	0	1	0	0	1
03/25/2022 address 3	532173	SBO	880	10	1	0	0	1
03/25/2022 address 3	534278	SBO	3000	50	1	0	0	1
03/25/2022 address 3	538341	SLP	20	0	21	1	0	1
03/25/2022 address 1	506608	SBO	11200	100	44	0	0	44
03/25/2022 address 1	508012	SBO	6000	100	2	0	0	2
03/25/2022 address 1	510088	SBO	2560	80	16	0	0	16
03/25/2022 address 1	511171	SRL	360	12	21	0	1	9
03/25/2022 address 1	513473	SBO	4800	200	2	0	0	2
03/25/2022 address 1	514902	SBO	14400	100	2	0	0	2
03/25/2022 address 1	518636	SBO	4000	100	24	0	0	24
03/25/2022 address 1	519111	SBO	40320	2240	48	0	0	48
03/25/2022 address 1	529027	SPN	108	0	2	0	0	2
03/25/2022 address 1	531539	SBO	54000	300	30	0	0	30
03/25/2022 address 1	531967	SFS	230400	300	66	0	0	66
03/25/2022 address 1	532173	SBO	880	10	2	0	0	2
03/25/2022 address 1	534278	SBO	3000	50	2	0	0	2
03/25/2022 address 1	539727	SLP	20	0	22	1	0	2
03/25/2022 address 1	544319	SBO	1728	24	48	0	2	0
03/25/2022 address 6	506608	SBO	11200	100	128	0	1	28
03/25/2022 address 6	508012	SBO	6000	100	12	0	0	12
03/25/2022 address 6	510088	SBO	2560	80	32	0	0	32
03/25/2022 address 6	511171	SRL	360	12	46	0	3	10
03/25/2022 address 6	513473	SBO	4800	200	12	0	0	12
03/25/2022 address 6	514902	SBO	14400	100	12	0	0	12
03/25/2022 address 6	518636	SBO	4000	100	68	0	0	68
03/25/2022 address 6	519111	SBO	40320	2240	96	0	0	96
03/25/2022 address 6	529027	SPN	108	0	3	0	0	3
03/25/2022 address 6	532173	SBO	880	10	3	0	0	3
03/25/2022 address 6	534278	SBO	3000	50	3	0	0	3
03/25/2022 address 6	538341	SLP	20	0	65	3	0	5
03/28/2022 address 5	534983	SLB	8	0	4	0	0	4
03/28/2022 address 5	536630	SRL	3	0	2	0	0	2
03/28/2022 address 5	537682	SSN	10	0	2	0	0	2
03/29/2022 address 9	506608	SBO	11200	100	48	0	0	48
03/29/2022 address 9	508012	SBO	6000	100	5	0	0	5
03/29/2022 address 9	510088	SBO	2560	80	12	0	0	12
03/29/2022 address 9	511171	SRL	360	12	18	0	1	6
03/29/2022 address 9	513473	SBO	4800	200	5	0	0	5
03/29/2022 address 9	514902	SBO	14400	100	5	0	0	5
03/29/2022 address 9	518636	SBO	4000	100	24	0	0	24
03/29/2022 address 9	519111	SBO	40320	2240	40	0	0	40
03/29/2022 address 9	529027	SPN	108	0	1	0	0	1
03/29/2022 address 9	532173	SBO	880	10	1	0	0	1
03/29/2022 address 9	534278	SBO	3000	50	1	0	0	1
03/29/2022 address 9	538341	SLP	20	0	26	1	0	6
03/30/2022 address 8	506608	SBO	11200	100	72	0	0	72
03/30/2022 address 8	508012	SBO	6000	100	7	0	0	7
03/30/2022 address 8	510088	SBO	2560	80	20	0	0	20
03/30/2022 address 8	511171	SRL	360	12	26	0	2	2
03/30/2022 address 8	513473	SBO	4800	200	7	0	0	7
03/30/2022 address 8	514902	SBO	14400	100	7	0	0	7
03/30/2022 address 8	518636	SBO	4000	100	40	0	0	40
03/30/2022 address 8	519111	SBO	40320	2240	56	0	0	56
03/30/2022 address 8	529027	SPN	108	0	1	0	0	1
03/30/2022 address 8	532173	SBO	880	10	1	0	0	1
03/30/2022 address 8	534278	SBO	3000	50	1	0	0	1
03/30/2022 address 8	538342	SLP	20	0	36	1	0	16
03/30/2022 address 2	534983	SLB	8	0	12	1	0	4
03/30/2022 address 2	536630	SRL	3	0	6	2	0	0
03/30/2022 address 2	537682	SSN	10	0	6	0	0	6
03/31/2022 address 8	506608	SBO	11200	100	244	0	2	44
03/31/2022 address 8	508012	SBO	6000	100	23	0	0	23
03/31/2022 address 8	510088	SBO	2560	80	64	0	0	64
03/31/2022 address 8	511171	SRL	360	12	90	0	7	6
03/31/2022 address 8	513473	SBO	4800	200	23	0	0	23
03/31/2022 address 8	514902	SBO	14400	100	23	0	0	23
03/31/2022 address 8	516990	SBO	2160	80	2	0	0	2
03/31/2022 address 8	518636	SBO	4000	100	120	0	1	20
03/31/2022 address 8	519111	SBO	40320	2240	184	0	0	184
03/31/2022 address 8	529027	SPN	108	0	5	0	0	5
03/31/2022 address 8	532173	SBO	880	10	5	0	0	5
03/31/2022 address 8	534278	SBO	3000	50	3	0	0	3
03/31/2022 address 8	538342	SLP	20	0	131	6	0	11
03/31/2022 address 1	506608	SBO	11200	100	468	0	4	68
03/31/2022 address 1	508012	SBO	6000	100	32	0	0	32
03/31/2022 address 1	510088	SBO	2560	80	180	0	2	20
03/31/2022 address 1	511171	SRL	360	12	215	0	17	11
03/31/2022 address 1	513473	SBO	4800	200	34	0	0	34
03/31/2022 address 1	514902	SBO	14400	100	32	0	0	32
03/31/2022 address 1	518636	SBO	4000	100	300	0	3	0
03/31/2022 address 1	519111	SBO	40320	2240	424	0	0	424
03/31/2022 address 1	529027	SPN	108	0	22	0	0	22
03/31/2022 address 1	531539	SBO	54000	300	229	0	0	229
03/31/2022 address 1	531967	SFS	230400	300	504	0	1	204
03/31/2022 address 1	532173	SBO	880	10	22	0	2	2
03/31/2022 address 1	534278	SBO	3000	50	22	0	0	22
03/31/2022 address 1	538350	SLP	25	0	44	1	0	19
03/31/2022 address 1	538352	SLP	25	0	22	0	0	22
03/31/2022 address 1	539727	SLP	20	0	169	8	0	9
03/31/2022 address 1	544319	SBO	1728	24	504	0	21	0
03/31/2022 address 2	506608	SBO	11200	100	140	0	1	40
03/31/2022 address 2	508012	SBO	6000	100	13	0	0	13
03/31/2022 address 2	510088	SBO	2560	80	36	0	0	36
03/31/2022 address 2	511171	SRL	360	12	52	0	4	4
03/31/2022 address 2	513473	SBO	4800	200	13	0	0	13
03/31/2022 address 2	514902	SBO	14400	100	13	0	0	13
03/31/2022 address 2	518636	SBO	4000	100	76	0	0	76
03/31/2022 address 2	519111	SBO	40320	2240	104	0	0	104
03/31/2022 address 2	529027	SPN	108	0	3	0	0	3
03/31/2022 address 2	532173	SBO	880	10	3	0	0	3
03/31/2022 address 2	534278	SBO	3000	50	3	0	0	3
03/31/2022 address 2	538341	SLP	20	0	59	2	0	19
04/01/2022 address 13	538341	SLP	20	0	17	0	0	17
04/01/2022 address 2	506608	SBO	11200	100	152	0	1	52
04/01/2022 address 2	508012	SBO	6000	100	14	0	0	14
04/01/2022 address 2	510088	SBO	2560	80	36	0	0	36
04/01/2022 address 2	511171	SRL	360	12	54	0	4	6
04/01/2022 address 2	513473	SBO	4800	200	14	0	0	14
04/01/2022 address 2	514902	SBO	14400	100	14	0	0	14
04/01/2022 address 2	518636	SBO	4000	100	68	0	0	68
04/01/2022 address 2	519111	SBO	40320	2240	112	0	0	112
04/01/2022 address 2	529027	SPN	108	0	4	0	0	4
04/01/2022 address 2	532173	SBO	880	10	4	0	0	4
04/01/2022 address 2	534278	SBO	3000	50	4	0	0	4
04/01/2022 address 2	538341	SLP	20	0	80	4	0	0
04/04/2022 address 10	534983	SLB	8	0	4	0	0	4
04/04/2022 address 10	537603	SBO	400	20	1	0	0	1
04/04/2022 address 10	537682	SSN	10	0	1	0	0	1
04/04/2022 address 10	542928	SRL	3	0	2	0	0	2
04/04/2022 address 3	506608	SBO	11200	100	224	0	2	24
04/04/2022 address 3	508012	SBO	6000	100	21	0	0	21
04/04/2022 address 3	510088	SBO	2560	80	52	0	0	52
04/04/2022 address 3	511171	SRL	360	12	80	0	6	8
04/04/2022 address 3	513473	SBO	4800	200	21	0	0	21
04/04/2022 address 3	514902	SBO	14400	100	21	0	0	21
04/04/2022 address 3	518636	SBO	4000	100	104	0	1	4
04/04/2022 address 3	519111	SBO	40320	2240	168	0	0	168
04/04/2022 address 3	529027	SPN	108	0	3	0	0	3
04/04/2022 address 3	532173	SBO	880	10	3	0	0	3
04/04/2022 address 3	534278	SBO	3000	50	3	0	0	3
04/04/2022 address 3	538341	SLP	20	0	115	5	0	15
04/05/2022 address 3	538341	SLP	20	0	4	0	0	4
04/05/2022 address 2	506608	SBO	11200	100	212	0	2	12
04/05/2022 address 2	508012	SBO	6000	100	20	0	0	20
04/05/2022 address 2	510088	SBO	2560	80	52	0	0	52
04/05/2022 address 2	511171	SRL	360	12	76	0	6	4
04/05/2022 address 2	513473	SBO	4800	200	20	0	0	20
04/05/2022 address 2	514902	SBO	14400	100	20	0	0	20
04/05/2022 address 2	518636	SBO	4000	100	100	0	1	0
04/05/2022 address 2	519111	SBO	40320	2240	160	0	0	160
04/05/2022 address 2	529027	SPN	108	0	6	0	0	6
04/05/2022 address 2	532173	SBO	880	10	6	0	0	6
04/05/2022 address 2	534278	SBO	3000	50	6	0	0	6
04/05/2022 address 2	538341	SLP	20	0	110	5	0	10
04/06/2022 address 8	506608	SBO	11200	100	44	0	0	44
04/06/2022 address 8	508012	SBO	6000	100	4	0	0	4
04/06/2022 address 8	510088	SBO	2560	80	12	0	0	12
04/06/2022 address 8	511171	SRL	360	12	16	0	1	4
04/06/2022 address 8	513473	SBO	4800	200	4	0	0	4
04/06/2022 address 8	514902	SBO	14400	100	4	0	0	4
04/06/2022 address 8	516990	SBO	2160	80	1	0	0	1
04/06/2022 address 8	518636	SBO	4000	100	20	0	0	20
04/06/2022 address 8	519111	SBO	40320	2240	32	0	0	32
04/06/2022 address 8	529027	SPN	108	0	1	0	0	1
04/06/2022 address 8	532173	SBO	880	10	1	0	0	1
04/06/2022 address 1	506608	SBO	11200	100	400	0	4	0
04/06/2022 address 1	508012	SBO	6000	100	26	0	0	26
04/06/2022 address 1	510088	SBO	2560	80	136	0	1	56
04/06/2022 address 1	511171	SRL	360	12	230	0	19	2
04/06/2022 address 1	513473	SBO	4800	200	41	0	0	41
04/06/2022 address 1	514902	SBO	14400	100	26	0	0	26
04/06/2022 address 1	518636	SBO	4000	100	348	0	3	48
04/06/2022 address 1	519111	SBO	40320	2240	504	0	0	504
04/06/2022 address 1	529027	SPN	108	0	22	0	0	22
04/06/2022 address 1	531539	SBO	54000	300	294	0	0	294
04/06/2022 address 1	531967	SFS	230400	300	651	0	2	51
04/06/2022 address 1	532173	SBO	880	10	22	0	2	2
04/06/2022 address 1	534278	SBO	3000	50	22	0	0	22
04/06/2022 address 1	538352	SLP	25	0	12	0	0	12
04/06/2022 address 1	539727	SLP	20	0	217	10	0	17
04/06/2022 address 1	544319	SBO	1728	24	888	0	37	0
04/07/2022 address 9	538341	SLP	20	0	1	0	0	1
04/08/2022 address 3	506608	SBO	11200	100	120	0	1	20
04/08/2022 address 3	508012	SBO	6000	100	11	0	0	11
04/08/2022 address 3	510088	SBO	2560	80	28	0	0	28
04/08/2022 address 3	511171	SRL	360	12	44	0	3	8
04/08/2022 address 3	513473	SBO	4800	200	11	0	0	11
04/08/2022 address 3	514902	SBO	14400	100	11	0	0	11
04/08/2022 address 3	518636	SBO	4000	100	64	0	0	64
04/08/2022 address 3	519111	SBO	40320	2240	88	0	0	88
04/08/2022 address 3	529027	SPN	108	0	2	0	0	2
04/08/2022 address 3	530184	SLP	20	0	47	2	0	7
04/08/2022 address 3	532173	SBO	880	10	2	0	0	2
04/08/2022 address 3	534278	SBO	3000	50	2	0	0	2
04/08/2022 address 3	538341	SLP	20	0	18	0	0	18
04/08/2022 address 1	506608	SBO	11200	100	40	0	0	40
04/08/2022 address 1	508012	SBO	6000	100	4	0	0	4
04/08/2022 address 1	510088	SBO	2560	80	12	0	0	12
04/08/2022 address 1	511171	SRL	360	12	14	0	1	2
04/08/2022 address 1	513473	SBO	4800	200	4	0	0	4
04/08/2022 address 1	514902	SBO	14400	100	4	0	0	4
04/08/2022 address 1	518636	SBO	4000	100	20	0	0	20
04/08/2022 address 1	519111	SBO	40320	2240	32	0	0	32
04/08/2022 address 1	529027	SPN	108	0	1	0	0	1
04/08/2022 address 1	532173	SBO	880	10	1	0	0	1
04/08/2022 address 1	534278	SBO	3000	50	1	0	0	1
04/08/2022 address 1	538352	SLP	25	0	20	0	0	20
04/11/2022 address 8	506608	SBO	11200	100	44	0	0	44
04/11/2022 address 8	508012	SBO	6000	100	4	0	0	4
04/11/2022 address 8	510088	SBO	2560	80	12	0	0	12
04/11/2022 address 8	511171	SRL	360	12	16	0	1	4
04/11/2022 address 8	513473	SBO	4800	200	4	0	0	4
04/11/2022 address 8	514902	SBO	14400	100	4	0	0	4
04/11/2022 address 8	518636	SBO	4000	100	20	0	0	20
04/11/2022 address 8	519111	SBO	40320	2240	32	0	0	32
04/11/2022 address 8	534983	SLB	8	0	2	0	0	2
04/11/2022 address 8	536630	SRL	3	0	1	0	0	1
04/11/2022 address 8	537682	SSN	10	0	1	0	0	1
04/11/2022 address 8	538342	SLP	20	0	23	1	0	3
04/11/2022 address 7	508012	SBO	6000	100	500	0	5	0
04/11/2022 address 7	514902	SBO	14400	100	500	0	5	0
04/11/2022 address 7	518636	SBO	4000	100	200	0	2	0
04/11/2022 address 7	530167	SBO	864	24	2	0	0	2
04/11/2022 address 7	531539	SBO	54000	300	100	0	0	100
04/11/2022 address 7	531575	SBO	450	15	2	0	0	2
04/11/2022 address 7	531702	SBO	450	15	2	0	0	2
04/11/2022 address 2	534983	SLB	8	0	10	1	0	2
04/11/2022 address 2	536630	SRL	3	0	5	1	0	2
04/11/2022 address 2	537682	SSN	10	0	5	0	0	5
04/12/2022 address 7	506608	SBO	11200	100	68	0	0	68
04/12/2022 address 7	508012	SBO	6000	100	6	0	0	6
04/12/2022 address 7	510088	SBO	2560	80	16	0	0	16
04/12/2022 address 7	511171	SRL	360	12	24	0	2	0
04/12/2022 address 7	513473	SBO	4800	200	6	0	0	6
04/12/2022 address 7	514902	SBO	14400	100	6	0	0	6
04/12/2022 address 7	516990	SBO	2160	80	1	0	0	1
04/12/2022 address 7	518636	SBO	4000	100	32	0	0	32
04/12/2022 address 7	519111	SBO	40320	2240	48	0	0	48
04/12/2022 address 7	529027	SPN	108	0	1	0	0	1
04/12/2022 address 7	532173	SBO	880	10	1	0	0	1
04/12/2022 address 7	538342	SLP	20	0	32	1	0	12
04/13/2022 address 1	506608	SBO	11200	100	156	0	1	56
04/13/2022 address 1	508012	SBO	6000	100	7	0	0	7
04/13/2022 address 1	510088	SBO	2560	80	56	0	0	56
04/13/2022 address 1	511171	SRL	360	12	69	0	5	9
04/13/2022 address 1	513473	SBO	4800	200	6	0	0	6
04/13/2022 address 1	514902	SBO	14400	100	7	0	0	7
04/13/2022 address 1	518636	SBO	4000	100	76	0	0	76
04/13/2022 address 1	519111	SBO	40320	2240	144	0	0	144
04/13/2022 address 1	529027	SPN	108	0	6	0	0	6
04/13/2022 address 1	531539	SBO	54000	300	104	0	0	104
04/13/2022 address 1	531967	SFS	230400	300	228	0	0	228
04/13/2022 address 1	532173	SBO	880	10	6	0	0	6
04/13/2022 address 1	534278	SBO	3000	50	6	0	0	6
04/13/2022 address 1	538328	SLP	23	0	3	0	0	3
04/13/2022 address 1	539662	SLP	22	0	2	0	0	2
04/13/2022 address 1	539727	SLP	20	0	78	3	0	18
04/13/2022 address 1	544319	SBO	1728	24	168	0	7	0
04/13/2022 address 2	506608	SBO	11200	100	52	0	0	52
04/13/2022 address 2	508012	SBO	6000	100	5	0	0	5
04/13/2022 address 2	510088	SBO	2560	80	16	0	0	16
04/13/2022 address 2	511171	SRL	360	12	20	0	1	8
04/13/2022 address 2	513473	SBO	4800	200	5	0	0	5
04/13/2022 address 2	514902	SBO	14400	100	5	0	0	5
04/13/2022 address 2	518636	SBO	4000	100	32	0	0	32
04/13/2022 address 2	519111	SBO	40320	2240	40	0	0	40
04/13/2022 address 2	529027	SPN	108	0	2	0	0	2
04/13/2022 address 2	530205	SLP	23	0	17	0	0	17
04/13/2022 address 2	532173	SBO	880	10	2	0	0	2
04/13/2022 address 2	534278	SBO	3000	50	2	0	0	2
04/13/2022 address 2	538341	SLP	20	0	12	0	0	12
04/14/2022 address 2	506608	SBO	11200	100	248	0	2	48
04/14/2022 address 2	508012	SBO	6000	100	24	0	0	24
04/14/2022 address 2	510088	SBO	2560	80	60	0	0	60
04/14/2022 address 2	511171	SRL	360	12	90	0	7	6
04/14/2022 address 2	513473	SBO	4800	200	24	0	0	24
04/14/2022 address 2	514902	SBO	14400	100	24	0	0	24
04/14/2022 address 2	518636	SBO	4000	100	116	0	1	16
04/14/2022 address 2	519111	SBO	40320	2240	192	0	0	192
04/14/2022 address 2	529027	SPN	108	0	21	0	0	21
04/14/2022 address 2	530167	SBO	864	24	50	0	2	2
04/14/2022 address 2	531539	SBO	54000	300	1000	0	3	100
04/14/2022 address 2	531575	SBO	450	15	20	0	1	5
04/14/2022 address 2	531577	SBO	720	60	10	0	0	10
04/14/2022 address 2	531578	SBO	1120	10	20	0	2	0
04/14/2022 address 2	531702	SBO	450	15	20	0	1	5
04/14/2022 address 2	532173	SBO	880	10	26	0	2	6
04/14/2022 address 2	532458	SBO	4	0	2	0	0	2
04/14/2022 address 2	534278	SBO	3000	50	26	0	0	26
04/14/2022 address 2	538341	SLP	20	0	132	6	0	12
04/15/2022 address 3	506608	SBO	11200	100	228	0	2	28
04/15/2022 address 3	508012	SBO	6000	100	21	0	0	21
04/15/2022 address 3	510088	SBO	2560	80	52	0	0	52
04/15/2022 address 3	511171	SRL	360	12	82	0	6	10
04/15/2022 address 3	513473	SBO	4800	200	21	0	0	21
04/15/2022 address 3	514902	SBO	14400	100	21	0	0	21
04/15/2022 address 3	518636	SBO	4000	100	104	0	1	4
04/15/2022 address 3	519111	SBO	40320	2240	168	0	0	168
04/15/2022 address 3	529027	SPN	108	0	4	0	0	4
04/15/2022 address 3	532173	SBO	880	10	4	0	0	4
04/15/2022 address 3	534278	SBO	3000	50	4	0	0	4
04/15/2022 address 3	538341	SLP	20	0	120	6	0	0
04/15/2022 address 1	506608	SBO	11200	100	44	0	0	44
04/15/2022 address 1	508012	SBO	6000	100	4	0	0	4
04/15/2022 address 1	510088	SBO	2560	80	12	0	0	12
04/15/2022 address 1	511171	SRL	360	12	16	0	1	4
04/15/2022 address 1	513473	SBO	4800	200	4	0	0	4
04/15/2022 address 1	514902	SBO	14400	100	4	0	0	4
04/15/2022 address 1	518636	SBO	4000	100	20	0	0	20
04/15/2022 address 1	519111	SBO	40320	2240	32	0	0	32
04/15/2022 address 1	532173	SBO	880	10	1	0	0	1
04/15/2022 address 1	534278	SBO	3000	50	1	0	0	1
04/15/2022 address 1	538350	SLP	25	0	22	0	0	22
04/18/2022 address 1	506608	SBO	11200	100	352	0	3	52
04/18/2022 address 1	508012	SBO	6000	100	21	0	0	21
04/18/2022 address 1	510088	SBO	2560	80	120	0	1	40
04/18/2022 address 1	511171	SRL	360	12	174	0	14	6
04/18/2022 address 1	513473	SBO	4800	200	24	0	0	24
04/18/2022 address 1	514902	SBO	14400	100	21	0	0	21
04/18/2022 address 1	518636	SBO	4000	100	244	0	2	44
04/18/2022 address 1	519111	SBO	40320	2240	384	0	0	384
04/18/2022 address 1	531539	SBO	54000	300	254	0	0	254
04/18/2022 address 1	531967	SFS	230400	300	567	0	1	267
04/18/2022 address 1	532173	SBO	880	10	15	0	1	5
04/18/2022 address 1	534278	SBO	3000	50	15	0	0	15
04/18/2022 address 1	539727	SLP	20	0	189	9	0	9
04/18/2022 address 1	544319	SBO	1728	24	600	0	25	0
04/18/2022 address 6	506608	SBO	11200	100	56	0	0	56
04/18/2022 address 6	508012	SBO	6000	100	5	0	0	5
04/18/2022 address 6	510088	SBO	2560	80	12	0	0	12
04/18/2022 address 6	511171	SRL	360	12	20	0	1	8
04/18/2022 address 6	513473	SBO	4800	200	5	0	0	5
04/18/2022 address 6	514902	SBO	14400	100	5	0	0	5
04/18/2022 address 6	518636	SBO	4000	100	24	0	0	24
04/18/2022 address 6	519111	SBO	40320	2240	40	0	0	40
04/18/2022 address 6	529027	SPN	108	0	1	0	0	1
