Date and Ship To Address	Item Number	Pick Type	Each per pallet	Each per case	Sum of Total quantity requested for order	Pallet Picks	Case Picks	Each Picks
03/18/2022 address 1	508012	SBO	6000	100	4	0	0	4
03/18/2022 address 1	510088	SBO	2560	80	28	0	0	28
03/18/2022 address 1	511171	SRL	360	12	36	0	3	0
03/18/2022 address 1	513473	SBO	4800	200	5	0	0	5
03/18/2022 address 1	514902	SBO	14400	100	4	0	0	4
03/18/2022 address 1	518636	SBO	4000	100	56	0	0	56
03/18/2022 address 1	519111	SBO	40320	2240	96	0	0	96
03/18/2022 address 1	529027	SPN	108	0	4	0	0	4
03/18/2022 address 1	531539	SBO	54000	300	48	0	0	48
03/18/2022 address 1	531967	SFS	230400	300	108	0	0	108
03/18/2022 address 1	532173	SBO	880	10	4	0	0	4
03/18/2022 address 1	532458	SBO	4	0	2	0	0	2
03/18/2022 address 1	534278	SBO	3000	50	4	0	0	4
03/18/2022 address 1	538799	SBO	108	3	1	0	0	1
03/18/2022 address 1	539727	SLP	20	0	36	1	0	16
03/18/2022 address 1	544319	SBO	1728	24	96	0	4	0
03/21/2022 address 10	506608	SBO	11200	100	40	0	0	40
03/21/2022 address 10	508012	SBO	6000	100	4	0	0	4
03/21/2022 address 10	510088	SBO	2560	80	12	0	0	12
03/21/2022 address 10	511171	SRL	360	12	14	0	1	2
03/21/2022 address 10	513473	SBO	4800	200	4	0	0	4
03/21/2022 address 10	514902	SBO	14400	100	4	0	0	4
03/21/2022 address 10	518636	SBO	4000	100	20	0	0	20
03/21/2022 address 10	519111	SBO	40320	2240	32	0	0	32
03/21/2022 address 10	529027	SPN	108	0	1	0	0	1
03/21/2022 address 10	532173	SBO	880	10	1	0	0	1
